ID,Author,Quote
1,St. Ephraim the Syrian,Everyday I lay the foundation for my repentance and with my own hands i tear it apart
2,John Wesley,"Do all the good you can, By all the means you can, In all the ways you can, In all the places you can, At all the times you can, To all the people you can, As long as ever you can."
3,Jonathan Edwards,"God is the highest good of the reasonable creature. The enjoyment of him is our proper; and is the only happiness with which our souls can be satisfied. To go to heaven, fully to enjoy God, is infinitely better than the most pleasant accommodations here. Better than fathers and mothers, husbands, wives, or children, or the company of any, or all earthly friends. These are but shadows; but the enjoyment of God is the substance. These are but scattered beams; but God is the sun. These are but streams; but God is the fountain. These are but drops, but God is the ocean."
4,St. Anselm,No one will have any other desire in heaven than what God wills; and the desire of one will be the desire of all; and the desire of all and of each one will also be the desire of God.
5,Martin Luther,"Faith is a living, daring confidence in God's grace, so sure and certain that a man could stake his life on it a thousand times."
6,St. Ignatius of Antioch,Do not have Jesus Christ on your lips and the World in your heart.
7,Wilhelm Lohe,"What do I want? I want to serve. Whom do I want to serve? The Lord in the person of his poor suffering children. And what is my reward? I serve for neither reward or thanks, but out of gratitude and love; my rewards is that I am permitted to serve."
8,St. John Chrysostom,Let no one mourn that he has fallen again and again; for forgiveness has risen from the grave.
9,Martin Luther,The Law is for the proud and the Gospel for the brokenhearted.
10,Charles Wesley,The person who bears and suffers evil with meekness and silence is the sum of a Christian man.
11,St. Augustine,"He who falls, falls by his own will; and he who stands; stands by God’s will."
12,St. Isaac the Syrian,As much as you love your worst enemy – This is the measure of your love for God.
13,Soren Kierkegaard,"Never cease loving a person, and never give up hope for him, for even the prodigal son who had fallen most low, could still be saved; the bitterest enemy and also he who was your friend could again be your friend; love that has grown cold can kindle."
14,Thomas Watson,"He may look on death with joy, who can look on forgiveness with faith."
15,St. Augustine,God loves each of us as if there were only one of us.
16,R.C. Sproul,To have sound assurance we must understand that our salvation rests upon the merit of Christ alone
17,John Bunyan,"Thou art beaten that thou mayest be better.
"
18,St. Boniface,"In her voyage across the ocean of this world, the Church is like a great ship being pounded by the waves of life’s different stresses. Our duty is not to abandon ship but to keep her on her course."
19,D.L. Moody,"Some people think God does not like to be troubled with our constant coming and asking. The way to trouble God is not 
to come at all."
20,St. Francis of Assisi,"Remember that when you leave this earth,
you can take with you nothing that you have received—
only what you have given: a full heart enriched by honest
service, love, sacrifice and courage."
21,Bo Giertz,"Read God’s Word now as God’s Word, without skipping anything. Underline heavily everything about what our Savior has done for us. And if you like, write ‘For me’ in the margin. You need this yourself, and it is your duty to preach it to your congregation, as well."
22,St. Bede the Venerable,"Unfurl the sails, and let God steer us where He will."
23,Johann Gerhard,"I urge you with all sincerity that when you are truly contrite in your inmost heart for the sins you have committed, look to Him, who died for you on the altar of the Cross. He did this so that you would not be subject to eternal death. Turn your eyes from the outward appearance of death and place them on Christ who by His death has destroyed him who had the power of death, that is, the devil; And has delivered us who, through fear of death, were all our lifetime subject to bondage (Heb 2: 14– 15). He is the death of our death (Hos 13: 14); He is the sting to the Hell we deserved; He is the resurrection and the life; he who believes in Him, though he die, shall live; and everyone who lives and believes in Him shall never die (John 11: 25– 26)."
24,G.K. Chesterton,"The Bible tells us to love our neighbors, and also to love our enemies; probably because they are generally the same people."
25,Martyn Lloyd-Jones,Always respond to every impulse to pray.
26,Thomas Cranmer,The learning of the Christian man ought to begin with the fear of God.
27,St. Clement,The Lord has turned all our sunsets into sunrise.
28,George Whitefield,"Lord, help me to begin to begin."
29,Richard Hooker,"God is no captious sophister, eager to trip us up whenever we say amiss, but a courteous tutor, ready to amend what, in our weakness or our ignorance, we say ill, and to make the most of what we say aright."
30,A.W. Tozer,The key to prayer is simply praying.
31,St. Ignatius of Antioch,"No earthly pleasures, no kingdoms of this world can benefit me in any way. I prefer death in Christ Jesus to power over the farthest limits of the earth. He who died in place of us is the one object of my quest. He who rose for our sakes is my one desire."
32,Charles Spurgeon,Nothing teaches us about the preciousness of the Creator as much as when we learn the emptiness of everything else
33,C.S. Lewis,"Jesus Christ did not say, ‘Go into all the world and tell the world that it is quite right.’"
34,Richard Sibbes,"The whole life of a Christian should be nothing but praises and thanks to God; we should neither eat nor sleep, but eat to God and sleep to God and work to God and talk to God, do all to His glory and praise.
"
35,St. Bonaventure,"If you learn everything except Christ, you learn nothing. If you learn nothing except Christ, you learn everything."
36,Martin Luther,To be a Christian without prayer is no more possible than to be alive without breathing.
37,John Wesley,"Unless God has raised you up for this very thing, you will be worn out by the opposition of men and devils. But if God be for you, who can be against you? Are all of them together stronger than God? O be not weary of well doing!"
38,John Calvin,A dog barks when his master is attacked. I would be a coward if I saw that God’s truth is attacked and yet would remain silent
39,St. Augustine,Pray as though everything depended on God. Work as though everything depended on you.
40,J.C. Ryle,"Do nothing that you would not like God to see. Say nothing you would not like God to hear. Write nothing you would not like God to read. Go no place where you would not like God to find you. Read no book of which you would not like God to say, ""Show it to Me.""
Never spend your time in such a way that you would not like to have God say, ""What are you doing?” "
41,John Calvin,We see that our whole salvation and all its parts are comprehended in Christ. We should therefore take care not to derive the least portion of it from anywhere else.
42,St. Gregory The Great,The contemplative life means the keeping of charity towards God and our neighbors and fixing all our desires on our Creator.
43,John Owen,"It is not the glorious battlements, the painted windows, the crouching gargoyles that support a building, but the stones that lie unseen in or upon the earth. It is often those who are despised and trampled on that bear up the weight of a whole nation"
44,Charles Hodge,The doctrines of grace humble a man without degrading him and exalt a man without inflating him
45,J.I. Packer,"“Wait on the Lord"" is a constant refrain in the Psalms, and it is a necessary word, for God often keeps us waiting. He is not in such a hurry as we are, and it is not his way to give more light on the future than we need for action in the present, or to guide us more than one step at a time. When in doubt, do nothing, but continue to wait on God. When action is needed, light will come.”"
46,Johannes Tauler,"Because in the school of the Spirit man learns wisdom through humility, knowledge by forgetting, how to speak by silence, how to live by dying."
47,Francis Schaeffer,"Each generation of the church in each setting has the responsibility of communicating the gospel in understandable terms, considering the language and thought-forms of that setting."
48,St. Gregory of Nazianzus,"Give something, however small, to the one in need. For it is not small to one who has nothing. Neither is it small to God, if we have given what we could."
49,John Knox,A man with God is always in the majority.
50,John Wycliffe,"The higher the hill, the stronger the wind: so the loftier the life, the stronger the enemy's temptations."
51,St. Mark the Ascetic,He who does something good and expects a reward is serving not God but his own will.
52,St. John Chrysostom,"Prayer is the root, the fountain, the mother of a thousand blessings"
53,Johann Arndt,"Consider then, O man! whether there can be anything more wretched and poor, more naked and miserable, than man when he dies, if he be not clothed with Christ's righteousness, and enriched in his God."
54,Martin Chemnitz,"For Christ, both God and man, must lay hold on us in order that there may be a union between Him and us."
55,Soren Kierkegaard,"There are two ways to be fooled. One is to believe what isn’t true; the other is to refuse to believe what is true.
"
56,Samuel Rutherford,You will not be carried to Heaven lying at ease upon a feather bed.
57,Philip Schaff,"Jesus Christ is the beginning, the middle, and the end of all. In the Gospels he walks in human form upon the earth, and accomplishes the work of redemption."
58,St. Anthony The Great,"“A time is coming when men will go mad, and when they see someone who is not mad they will attack him, saying, ‘You are mad; you are not like us.’"
59,St. Basil The Great,"And so let us be glad and bear with patience everything the world throws at us, secure iin the knowledge that it is then that we are most in the mind of God."
60,John Wesley,Give me one hundred men who love only God with all their heart and hate only sin with all their heart and we will shake the gates of hell and bring in the kingdom of God in one generation.
61,Jonathan Edwards,"A truly humble man is sensible of his natural distance from God; of his dependence on Him; of the insufficiency of his own power and wisdom; and that it is by God's power that he is upheld and provided for, and that he needs God's wisdom to lead and guide him, and His might to enable him to do what he ought to do for Him."
62,Philip Spener,"let us not abandon all hope before we have set our hands to the task. Let us not lay down our rod and staff if we do not have the desired success at once. What is impossible for men remains possible for God. Eventually God's hour must come, if only we wait for it."
63,St. Augustine,"What does love look like?
It has the hands to help others.
It has the feet to hasten to the poor and needy.
It has eyes to see the misery and want.
It has the ears to hear the sighs and sorrows of men.
That is what love looks like."
64,Martin Chemnitz,"This doctrine of Christ and of the apostles, from which the true faith of the primitive church was received, the apostles at first delivered orally, without writing, but later, not by any human counsel but by the will of God, they handed it on in the Scriptures."
65,Samuel Rutherford,"Let your children be as so many flowers, borrowed from God. If the flowers die or wither, thank God for a summer loan of them."
66,Thomas Aquinas,The things that we love tell us what we are.
67,Francis Asbury,"My desire is to live more to God to-day than yesterday, and to be more holy this hour than the last."
68,Bo Giertz,"And even if I know myself to be a balky and obstinate ass and have no concept of how the Lord would be able to use me, I can let the matter rest with Him and let Him direct the matter."
69,St. Maximus the Confessor,"He who drives out self-love, the mother of the passions, will with God's help easily rid himself of the rest, such as anger, irritation, rancour and so on. But he who is dominated by self-love is overpowered by the other passions, even against his will."
70,Jonathan Edwards,You contribute nothing to your salvation except the sin that made it necessary.
71,J.C. Ryle,"Praying and sinning will never live together in the same heart. Prayer will consume sin, or sin will choke prayer."
72,Johann Gerhard,"Since He is an infinitely great person who has made satisfaction for us, shall not His suffering be of infinite merit? What is so deadly that could not be healed by the death of the Son of God who is Life Himself? What is so bloody and defiled that could not be cleansed by the precious blood of the Son of God?"
73,George Whitefield,"If you are going to walk with Jesus Christ, you are going to be opposed.... In our days, to be a true Christian is really to become a scandal."
74,G.K. Chesterton,The Christian ideal has not been tried and found wanting; it has been found difficult and left untried
75,St. Anthony The Great,To say that God turns away from the sinful is like saying that the sun hides from the blind.
76,St. Augustine,"You have made us for yourself, O Lord, and our hearts are restless until they rest in you."
77,Thomas Watson,"God takes away the world, that the heart may cleave more to Him in sincerity."
78,John Wesley,Light yourself on fire with passion and people will come from miles to watch you burn.
79,St. Clement,"Let us contend with all earnestness, knowing that we are now called to the combat. Let us run in the straight road, the race that is incorruptible."
80,Samuel Rutherford,"When I am in the cellar of affliction, I look for the Lord's choicest wines."
81,St. Clement,"And we, too, being called by His will to Christ Jesus, are not justified by ourselves, nor by our own wisdom, or understanding or godliness, or works which we have wrought in holiness of heart; but by that faith through which, from the beginning, Almighty God has justified all men; to whom be glory for ever and ever. Amen."
82,C.S. Lewis,A man can no more diminish God’s glory by refusing to worship Him than a lunatic can put out the sun by scribbling the word ‘darkness’ on the walls of his cell.
83,Martin Luther,"I have held many things in my hands, and I have lost them all; but whatever I have placed in God's hands, that I still possess."
84,Thomas Cranmer,"In the midst of life we are in death, earth to earth, ashes to ashes, dust to dust, in sure and certain hope of the Resurrection."
85,Francis Schaeffer,"The inward area is the first place of loss of true Christian life, of true spirituality, and the outward sinful act is the result."
86,Charles Wesley,"Jesus! The Name that charms our fears,
that bids our sorrows cease;
‘Tis music in the sinner’s ears,
‘Tis life and health and peace."
87,J.C. Ryle,"Beware of manufacturing a God of your own: a God who is all mercy, but not just; a God who is all love, but not holy; a God who has a heaven for every body, but a hell for none; a God who can allow good and bad to be side by side in time, but will make no distinction between good and broad in eternity. Such a God is an idol of your own, as truly an idol as any snake or crocodile in an Egyptian temple. The hands of your own fancy and sentimentality have made him. He is not the God of the Bible, and beside the God of the Bible there is no God at all."
88,St. Polycarp,"Eighty and six years have I served him, and he hath done me no wrong; how then can I blaspheme my king who saved me?
"
89,Charles Spurgeon,"We cannot all be leaders, but we can all be pleaders; we cannot all be mighty in rhetoric, but we can all be prevalent in prayer."
90,Jan Hus,"I trust in the Lord God Almighty…that he will not take away from me the cup of his redemption, but firmly hope to drink from it today in his kingdom.
"
91,St. Leo The Great,The cross of Christ is the true ground and chief cause of Christian hope.
92,Tertullian,The blood of the martyrs is the seed of the church.
93,Leonard Ravenhill,"If we are weak in prayer, we are weak everywhere."
94,St. Ambrose,"Let your door stand open to receive Him, unlock your soul to Him, offer Him a welcome in your mind, and then you will see the riches of simplicity, the treasures of peace, the joy of grace. Throw wide the gate of your heart, stand before the sun of the everlasting light."
95,Francis Asbury,"We should so work as if we were to be saved by our works; and so rely on Jesus Christ, as if we did no works."
96,Johann Sebastian Bach,"The aim and final end of all music should be none other than the glory of God and the refreshment of the soul.
"
97,St. Ambrose,"The Church’s foundation is unshakable and firm against the assaults of the raging sea. Waves lash at the Church but do not shatter it. Although the elements of this world constantly batter and crash against her, she offers the safest harbor of salvation for all in distress.
"
98,R.C. Sproul,"There is no greater state than to get up from your knees knowing that God has forgiven every sin you’ve ever committed.
"
99,St. Ignatius of Antioch,"As for me, my charter is Jesus Christ, the inviolable charter is His cross and His death and resurrection, and faith through Him."
100,St. Augustine,"Whereas, therefore, in every question, which relates to life and conduct, not only teaching, but exhortation also is necessary; in order that by teaching we may know what is to be done, and by exhortation may be incited not to think it irksome to do what we already know is to be done; what more can I teach you, than what we read in the Apostle? For holy Scripture setteth a rule to our teaching, that we dare not “be wise more than it behoveth to be wise; but be wise, as himself saith, “unto soberness, according as unto each God hath allotted the measure of faith.”Be it not therefore for me to teach you any other thing, save to expound to you the words of the Teacher, and to treat of them as the Lord shall have given to me."
101,Martyn Lloyd-Jones,Prayer is beyond any question the highest activity of the human soul. Man is at his greatest and highest when upon his knees he comes face to face with God.
102,Jeremy Taylor,It is impossible for that man to despair who remembers that his Helper is omnipotent.
103,Lancelot Andrewes,"Take away, O Lord, the veil of my heart while I read the Scriptures."
104,Bo Giertz,"The stony soil of our heart, the rock foundation of our corrupt human nature, need not, therefore, be the basis for judgment upon us. It can be sprinkled with the blood of Jesus, just as the hill of Golgotha was when drops of blood fell upon it and it was transformed from a place of execution to the Rock of Atonement."
105,St. Hippolytus,"heavenly light more brilliant than all others sheds its radiance everywhere, and he who was begotten before the morning star and all the stars of heaven, Christ, mighty and immortal, shines upon all creatures more brightly than the sun."
106,William Perkins,"Christian, show yourself to be a member of Christ and a servant of God, not only in the general calling of a Christian, but also in the particular calling in which you are placed. It is not enough for a magistrate to be a Christian man, but he must also be a Christian magistrate. It is not enough for a master of a family to be a Christian man or a Christian in the church, but he must also be a Christian in his family and in the trade which he follows daily. Not everyone who is a common hearer of the Word and a frequenter of the Lord’s Table is therefore a good Christian, unless his conversation in his private house and in his private affairs and dealings be suitable. There is a man to be seen what he is."
107,John Wesley,We should be rigorous in judging ourselves and gracious in judging others.
108,St. Polycarp,"Let us, therefore, forsake the vanity of the crowd and their false teachings, and turn back to the Word delivered to us from the beginning.
"
109,Jonathan Edwards,"God’s purpose for my life was that I have a passion for God’s glory and that I have a passion for my joy in that glory, and that these two are one passion."
110,J.I. Packer,"If you ask, ‘Why is this happening?’ no light may come, but if you ask ‘How am I to glorify God now?’ there will always be an answer."
111,John Calvin,No true Christian is his own man
112,August Hermann Francke,"Do nothing in private, which you would avoid in the presence of the wise and good. You have respect for them; ought you not to respect much more the Great Jehovah?"
113,Isaac Watts,"The Great God values not the service of men, if the heart be not in it: The Lord sees and judges the heart; he has no regard to outward forms of worship, if there be no inward adoration, if no devout affection be employed therein. It is therefore a matter of infinite importance, to have the whole heart engaged steadfastly to God."
114,Henry Scougal,"The worth and excellency of a soul is to be measured by the object of its love. He who loveth mean and sordid things doth thereby become base and vile, but a noble and well-placed affection doth advance and improve the spirit into a conformity with the perfections which it loves."
115,Martin Luther,"Whatever your heart clings to and confides in, that is really your God"
116,Henry Melchior Muhlenberg,"I pray because I believe in the power of prayer. I pray because I have no doubt that God has answered my prayers. I pray because God allowed me to wake up to see another day. No matter what other think or say, I will pray."
117,Matthew Henry,"Extraordinary afflictions are not always the punishment of extraordinary sins, but sometimes the trial of extraordinary graces."
118,Nicholas Ridley,"Now the partaking of Christ’s body and of his blood, unto the faithful and godly, is the partaking or fellowship of life and immortality."
119,Thomas Cranmer,"In the Scriptures be the fat pastures of the soul; therein is no venomous meat, no unwholesome thing; they be the very dainty and pure feeding. He that is ignorant, shall find there what he should learn."
120,John Davenant,"The cause of human salvation is the free mercy of God putting away our sins, through the work of Christ and accepting us to life eternal on account of His obedience: and this gracious act of God we call justification."
121,William Gurnall,Cowards never won Heaven.
122,Thomas Watson,"The reason we come away so cold from reading the word is, because we do not warm ourselves at the fire of meditation."
123,George Whitefield,"If one evil thought, if one evil word, if one evil action, deserves eternal damnation, how many hells, my friends, do every one of us deserve, whose whole lives have been one continued rebellion against God!"
124,J.C. Ryle,"There is a common, worldly kind of Christianity in this day, which many have, and think they have enough-a cheap Christianity which offends nobody, and requires no sacrifice-which costs nothing, and is worth nothing."
125,Charles Wesley,"Amazing Love! How can it be, That Thou, my God, shouldst die for me?"
126,John Calvin,"There is not one blade of grass, there is no color in this world that is not intended to make us rejoice."
127,Johann Gerhard,God forbid that we should ever say that the faithfulness of God is nullified by the faithlessness of men.
128,St. Augustine,It was pride that changed angels into devils; it is humility that makes men as angels.
129,Francis Asbury,"Preach as if you had seen heaven and its celestial inhabitants, and had hovered over the bottomless pit, and beheld the tortures, and heard the groans of the damned."
130,John Wesley,You have one business on earth – to save souls.
131,Leonard Ravenhill,"If we displease God, does it matter whom we please? If we please Him does it matter whom we displease?"
132,Jeremiah Burroughs,"The Lord does not so much look at the work that is done, as at the faithfulness of our hearts in doing it."
133,Thomas Hooker,"Just as a wise individual chooses a residence that upholds his reputation and meets all his needs, so Christ finds His dwelling in a humble heart, the most suitable place to manifest His glory."
134,St. John Chrysostom,"Wherefore I exhort and entreat you all, disregard what this man and that man thinks about these things, and inquire from the Scriptures all these things; and having learnt what are the true riches, let us pursue after them that we may obtain also the eternal good things."
135,Hugh Latimer,"Saviour! teach me, day by day, Love's sweet lesson to obey; Sweeter lesson cannot be, Loving Him who first loved me. Charity is the very livery of Christ."
136,Josiah Shute,"Everyone, whether parents, masters, or rulers, should be obeyed only as far as their instructions align with God’s will. If we choose to ignore God’s commandments to please others, we risk facing judgment both in this world and the next."
137,John Knox,Let no day slip over without some comfort received from the mouth of God.
138,Wiilliam Perkins,"We must, in ourselves, be like the wounded man that lay in the road, that Christ Jesus the true Samaritan may come by us to dress our wounds, and to power his own precious blood into our souls."
139,Martin Luther,"A religion that gives nothing, costs nothing, and suffers nothing, is worth nothing"
140,George Whitefield,God forbid that I should travel with anybody a quarter of an hour without speaking of Christ to them.
141,J.I. Packer,"I need not torment myself with the fear that my faith may fail; as grace led me to faith in the first place, so grace will keep me believing to the end. Faith, both in its origin and continuance, is a gift of grace."
142,Thomas Manton,A man’s greatest care should be for that place where He dwells longest; therefore eternity should be in his scope!
143,Charles Spurgeon,"The bounden duty of a true believer towards men who profess to be Christians, and yet deny the Word of the Lord, and reject the fundamentals of the Gospel, is to come out from among them."
144,John Calvin,"Christ is much more powerful to save, than Adam was to destroy."
145,Lancelot Andrewes,"Have mercy on me, Lord, for I am weak; remember, Lord, how short my time is; remember that I am but flesh, a wind that passeth away, and cometh not again. My days are as grass, as a flower of the field; for the wind goeth over me, and I am gone, and my place shall know me no more."
146,Thomas Watson,"Great was the work of creation, but greater was the work of redemption. Great wisdom was seen in making us—but more miraculous wisdom in saving us. Great power was seen in bringing us out of nothing—but greater power in helping us when we were worse than nothing. (...) In the creation, God gave us ourselves; in the redemption, He gave us Himself."
147,Jonathan Edwards,"How can you expect to dwell with God forever, if you so neglect and forsake him here?"
148,Henry Scougal,"Christians know by experience that true religion is a union of the soul with God, a real participation in the divine nature, the very image of God drawn upon the soul, or, in the apostle's phrase, ""it is Christ formed within us""."
149,St. Ambrose,"When we speak about wisdom, we are speaking about Christ. When we speak about virtue, we are speaking about Christ. When we speak about justice, we are speaking about Christ. When we speak about peace, we are speaking about Christ. When we speak about truth and life and redemption, we are speaking about Christ."
150,John Calvin,The torture of a bad conscience is the hell of a living soul.
151,St. Ignatius of Antioch,"A Christian is not his own master, since all his time belongs to God."
152,Jan Hus,It is better to die well than to live badly.
153,John Wycliffe,"We should know that faith is a gift of God, and that it may not be given to men, except it be graciously. Thus, indeed, all the good which we have is of God; and accordingly, when God rewardeth a good work of man, he crowneth his own gift."
154,John Wesley,I continue to dream and pray about a revival of holiness in our day that moves forth in mission and creates authentic community in which each person can be unleashed through the empowerment of the Spirit to fulfill God's creational intentions.
155,Matthew Henry,"Women were created from the rib of man to be beside him, not from his head to top him, nor from his feet to be trampled by him, but from under his arm to be protected by him, near to his heart to be loved by him."
156,Samuel Bolton,The lack of mercy sends us to prayer; the enjoyment of mercy sends us to praises.
157,John Jewel,"If we learn not humility, we learn nothing."
158,St. Irenaeus,"We have known the method of our salvation by no other means than those by whom the gospel came to us; which gospel they truly preached; but afterward, by the will of God, they delivered to us in the Scriptures, to be for the future the foundation and pillar of our faith"
159,Hugh Latimer,"As every lord giveth a certain livery to his servants, charity is the very livery of Christ. Our Saviour, Who is the Lord above all lords, would have His servants known their badge, which is love."
160,Martyn Lloyd-Jones,"If we believe that Jesus of Nazareth is the only begotten Son of God and that He came into this world and went to the cross of Calvary and died for our sins and rose again in order to justify us and to give us life anew and prepare us for heaven-if you really believe that, there is only one inevitable deduction, namely that He is entitled to the whole of our lives, without any limit whatsoever."
161,William Augustus Muhlenberg,"Would I shrink from the path which the prophets of God, Apostles, and martyrs, so joyfully trod? Like a spirit unblest, o'er the earth would I roam, While brethren and friends are all hastening home?"
162,Martin Luther,To gather with God's people in united adoration of the Father is as necessary to the Christian life as prayer.
163,St. Jerome,"Do not despair of the Lord's mercy, no matter how great your sins, for great mercy will take away your sins."
164,St. Clement,"And we who through his will have been called in Christ Jesus are justified, not by ourselves, or through our wisdom or understanding or godliness, or the works that we have done in holiness of heart, but by faith, by which all men from the beginning have been justified by Almighty God, to whom be glory world without end. Amen."
165,Thomas Watson,Christ went more willingly to the cross than we do to the throne of grace.
166,St. Irenaeus,"God is rich, perfect and in need of nothing."
167,Johann Gerhard,Christ joins His most holy and life-giving body to your miserable and depraved nature that you may draw from Him the drink of life and the antidote for that spiritual poison that lies hidden in your flesh.
168,St. Columbanus,"God is everywhere in his immensity, and everywhere close at hand."
169,John Wesley,"In using all means, seek God alone. In and through every outward thing, look only to the power of His Spirit, and the merits of His Son. Beware you do not get stuck in the work itself; if you do, it is all lost labor. Nothing short of God can satisfy your soul. Therefore, fix on Him in all, through all, and above all...Remember also to use all means as means-as ordained, not for their own sake…"
170,Fyodor Dostoevsky,To love someone means to see them as God intended them.
171,St. Clement,"Where can one go, where can one escape to, from the presence of Him whose hands embrace the universe?"
172,Jonathan Edwards,"Seek not to grow in knowledge chiefly for the sake of applause, and to enable you to dispute with others; but seek it for the benefit of your souls."
173,St. Basil The Great,"What, I ask, is more wonderful than the beauty of God?"
174,Lancelot Andrewes,"I am ever Thine. If Thou cast me out, who shall take me in? If Thou disregard me, who shall look on me? More canst Thou remit, than I commit; more canst Thou spare, than I offend. Let not hurtful pleasures overcome me; at the least let not any perverse habit overwhelm me; From evil and unlawful desires; From vain, hurtful, impure imaginations; from the illusions of evil spirits; from pollutions of soul and of body; Good Lord, deliver me."
175,Thomas Hooker,"We abide in Christ when the eye is fixed upon Christ, when the tongue continually speaks of Christ, when the mind dwells on him, and when the affections are directed towards him. But when the mind is taken off the promise and the comforts found therein, amusing itself by thinking of temptations or inward corruptions, then we are overcome"
176,St. Augustine,"Every creature is God’s servant, for it was through him that every creature came to be."
177,Matthew Henry,"Take Jesus for your king, and by baptism swear allegiance to him; take him for your prophet, and hear him; take him for your priest, to make atonement for you."
178,St. Cyprian,"With Christ’s help, we who live and abide in him will never be separated from his body and his grace."
179,Josiah Shute,"The sin of pride is so ingrained in us that even when other sins decrease, pride grows."
180,St. Irenaeus,"Thus, then, they who are of faith shall be blessed with faithful Abraham, and these are the children of Abraham. Now God made promise of the earth to Abraham and his seed; yet neither Abraham nor his seed, that is, those who are justified by faith, do now receive any inheritance in it; but they shall receive it at the resurrection of the just. For God is true and faithful; and on this account He said, “Blessed are the meek, for they shall inherit the earth.”"
181,Martin Luther,We need to hear the Gospel every day because we forget it every day.
182,John Calvin,We shall never be clothed with the righteousness of Christ except that we first know assuredly that we have no righteousness of our own.
183,Henry Scougal,"The true way to improve and ennoble our souls is, by fixing our love on the divine perfections, that we may have them always before us, and derive an impression of them on ourselves; and, ""beholding with open face, as in a glass, the glory of the Lord, we may be changed into the same image, from glory to glory."
184,William Tyndale,"God's goodness is the root of all goodness, and our goodness, if we have any, springs out of His goodness."
185,John Jewel,"But the law of God came from heaven indeed. God wrote it with his finger, it is the fountain of all wisdom, and therefore shall it continue for ever, and never have an end."
186,John Calvin,"We should ask God to increase our hope when it is small, awaken it when it is dormant, confirm it when it is wavering, strengthen it when it is weak, and raise it up when it is overthrown."
187,Peter Martyr Vermigli,In every idolatry the devil is worshipped.
188,St. John Chrysostom,"But after saying that ‘it was excluded,’ he shows also, how. How then does he say it was excluded? ‘By what law? of works? Nay, but by the law of faith.’ See he calls the faith also a law delighting to keep to the names, and so allay the seeming novelty. But what is the ‘law of faith?’ It is, being saved by grace. Here he shows God’s power, in that He has not only saved, but has even justified, and led them to boasting, and this too without needing works, but looking for faith only."
189,Martyn Lloyd-Jones,"The terrible, tragic fallacy of the last hundred years has been to think that all man's troubles are due to his environment, and that to change the man you have nothing to do but change his environment. That is a tragic fallacy. It overlooks the fact that it was in Paradise that man fell."
190,David Clarkson,"Men use this to excuse their sin, “it is my nature”; yet this is the greatest aggravation of it. Would this be a good plea for one who has plotted treason, to say, I am naturally a traitor; it is my nature to be treacherous, murderous?"
191,Henry Scougal,"[Love, basically, is love of God]: a delightful and affectionate sense of the divine perfections, which makes the soul resign and sacrifice itself wholly unto him, desiring above all things to please him, and delighting in nothing so much as in fellowship and communion with him, and being ready to do or suffer anything for his sake, or at his pleasure ... A soul thus possessed with divine love must needs be enlarged towards all mankind ... this is ... charity ... under which all parts of justice, all the duties we owe to our neighbour, are eminently comprehended; for he who doth truly love all the world ... so far from wrongdoing or injuring any person ... will resent any evil that befalls others, as if it happened to himself."
192,Jonathan Edwards,He who loves God will love Holiness and hate sin.
193,Herman Bavinck,"The Gospel is sheer good tidings, not demand but promise, not duty but gift. But in order that as promise and gift it may be realized in us, it takes on the character of moral admonishment in accordance with our nature. It does not want to force us, but it wants nothing other than that we freely and willingly accept in faith what God wants to give us. The will of God realizes itself in no other way than through our reason and will. That is why it is rightly said that a person, by the grace He receives, himself believes and himself turns from sin to God."
